날짜,당기금액,전기금액,label,변동량,최종
20170622,"731,713,000,000323,133,000,000","663,778,000,000310,757,000,000",1,0,0
20170811,"204,667,000,00086,768,000,000","189,423,000,000107,447,000,000",1,1,1
20171114,"111,121,000,00069,052,000,000","140,126,000,00075,642,000,000",0,0,1
20180402,"371,564,000,000148,864,000,000","731,713,000,000323,133,000,000",0,0,1
20180515,"140,151,000,00094,571,000,000","54,722,000,00066,972,000,000",0,1,0
20180814,"201,650,000,00068,096,000,000","204,667,000,00086,768,000,000",0,1,0
20181114,"126,650,000,00041,753,000,000","111,121,000,00069,052,000,000",1,0,0
20190401,"535,303,000,000233,410,000,000","371,564,000,000148,864,000,000",1,0,0
20190515,"155,986,000,000110,907,000,000","140,151,000,00094,571,000,000",1,1,1
20190814,"192,196,000,00071,509,000,000","201,650,000,00068,096,000,000",0,0,1
20191114,"218,232,000,00069,260,000,000","126,650,000,00041,753,000,000",1,1,1
20200330,"573,331,000,000270,958,000,000","535,303,000,000233,410,000,000",1,1,1
20200515,"196,540,000,000100,821,000,000","155,986,000,000110,907,000,000",1,0,0
20200814,"69,427,000,00028,867,000,000","192,196,000,00071,509,000,000",1,0,0
20201116,"83,842,000,00048,592,000,000","218,232,000,00069,260,000,000",1,1,1
20210317,"227,697,000,000102,477,000,000","573,331,000,000270,958,000,000",0,0,1
20160516,"1,768,131,000,000-","1,983,285,000,000-",0,0,1
20160816,"1,763,922,000,0001,372,965,000,000","1,790,417,000,0001,129,098,000,000",0,0,1
20161114,"1,118,764,000,000","1,206,018,000,000",0,1,0
20170331,"5,719,653,000,0004,101,860,000,000","6,509,165,000,0005,435,485,000,000",0,0,1
20170515,"1,405,694,000,000967,374,000,000","1,768,131,000,0001,939,846,000,000",0,1,0
20170814,"913,626,000,000674,500,000,000","1,763,922,000,0001,372,965,000,000",1,1,1
20171114,"939,182,000,000984,441,000,000","1,118,764,000,000176,833,000,000",1,1,1
20180402,"4,546,400,000,000","5,719,653,000,000",0,1,0
20180515,"731,635,000,000","1,405,694,000,000",1,0,0
20180814,"810,727,000,000","913,626,000,000",0,0,1
20181114,"-235,859,000,000","984,441,000,000",0,0,1
20190401,"414,941,000,000","2,551,319,000,000",1,1,1
20190515,"794,849,000,000","413,159,000,000",1,1,1
20190814,"1,017,689,000,000","699,335,000,000",0,0,1
20191114,"490,799,000,000","-235,859,000,000",1,0,0
20200330,"2,832,289,000,000","414,941,000,000",0,1,0
20200515,"614,159,000,000","794,849,000,000",0,1,0
20200814,"482,965,000,000","1,017,689,000,000",1,0,0
20201116,"-246,203,000,000","490,799,000,000",0,0,1
20210316,"526,975,000,000","2,832,289,000,000",1,1,1
