접수번호,계정명,당기명,당기일자,당기금액,전기명,전기일자,전기금액
20180402004162,비유동자산,제 50 기,2017.12.31 현재,"104,223,540,000,000",제 49 기,2016.12.31 현재,"106,386,328,000,000"
20180402004162,자산총계,제 50 기,2017.12.31 현재,"178,199,454,000,000",제 49 기,2016.12.31 현재,"178,835,928,000,000"
20180402004162,유동부채,제 50 기,2017.12.31 현재,"43,160,709,000,000",제 49 기,2016.12.31 현재,"43,609,793,000,000"
20180402004162,비유동부채,제 50 기,2017.12.31 현재,"60,281,391,000,000",제 49 기,2016.12.31 현재,"62,881,557,000,000"
20180402004162,부채총계,제 50 기,2017.12.31 현재,"103,442,100,000,000",제 49 기,2016.12.31 현재,"106,491,350,000,000"
20180402004162,자본금,제 50 기,2017.12.31 현재,"1,488,993,000,000",제 49 기,2016.12.31 현재,"1,488,993,000,000"
20180402004162,이익잉여금,제 50 기,2017.12.31 현재,"67,332,328,000,000",제 49 기,2016.12.31 현재,"64,361,408,000,000"
20180402004162,자본총계,제 50 기,2017.12.31 현재,"74,757,354,000,000",제 49 기,2016.12.31 현재,"72,344,578,000,000"
20180402004162,매출액,제 50 기,2017.01.01 ~ 2017.12.31,"96,376,079,000,000",제 49 기,2016.01.01 ~ 2016.12.31,"93,649,024,000,000"
20180402004162,영업이익,제 50 기,2017.01.01 ~ 2017.12.31,"4,574,667,000,000",제 49 기,2016.01.01 ~ 2016.12.31,"5,193,500,000,000"
20180402004162,법인세차감전 순이익,제 50 기,2017.01.01 ~ 2017.12.31,"4,438,550,000,000",제 49 기,2016.01.01 ~ 2016.12.31,"7,307,072,000,000"
20180402004162,당기순이익,제 50 기,2017.01.01 ~ 2017.12.31,"4,546,400,000,000",제 49 기,2016.01.01 ~ 2016.12.31,"5,719,653,000,000"
20180402004162,유동자산,제 50 기,2017.12.31 현재,"23,299,445,000,000",제 49 기,2016.12.31 현재,"24,175,403,000,000"
20180402004162,비유동자산,제 50 기,2017.12.31 현재,"46,831,205,000,000",제 49 기,2016.12.31 현재,"45,675,514,000,000"
20180402004162,자산총계,제 50 기,2017.12.31 현재,"70,130,650,000,000",제 49 기,2016.12.31 현재,"69,850,917,000,000"
20180402004162,유동부채,제 50 기,2017.12.31 현재,"10,360,637,000,000",제 49 기,2016.12.31 현재,"11,209,671,000,000"
20180402004162,비유동부채,제 50 기,2017.12.31 현재,"5,545,595,000,000",제 49 기,2016.12.31 현재,"6,061,535,000,000"
20180402004162,부채총계,제 50 기,2017.12.31 현재,"15,906,232,000,000",제 49 기,2016.12.31 현재,"17,271,206,000,000"
20180402004162,자본금,제 50 기,2017.12.31 현재,"1,488,993,000,000",제 49 기,2016.12.31 현재,"1,488,993,000,000"
