corp_code,corp_name,stock_code,modify_date
00136925,신원종합개발,017000,20201211
00124276,부스타,008470,20201211
00136624,신영와코루,005800,20201211
00356389,프럼파스트,035200,20201211
00609634,아이엠,101390,20201211
00103130,엔케이물산,009810,20201211
00145190,유화증권,003460,20201211
00291860,조광ILI,044060,20201211
00307028,경남제약,053950,20201211
00301246,SFA반도체,036540,20201211
01207761,디자인,227100,20201223
01263022,BGF리테일,282330,20201228
00264228,위즈코프,038620,20201228
01310269,HDC현대산업개발,294870,20201228
00962223,지니언스,263860,20210215
00552992,진매트릭스,109820,20210215
01065013,우정바이오,215380,20201211
00244455,케이티앤지,033780,20201211
00624998,제닉,123330,20201211
00129280,삼화전자공업,011230,20201211
00129679,녹십자,006280,20201211
00108135,녹십자홀딩스,005250,20201211
00125974,삼부토건,001470,20201211
